epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7941,1.25236,2.3005,1.16997,0.00038,0.11828,0.00022,7e-05,4.87897,inf,73.3496,0.000653595,0.000653595,0.000653595
2,44.5913,1.10889,1.00651,1.1366,0.00124,0.4086,0.00087,0.00034,3.04167,nan,31.9582,0.00130719,0.00130719,0.00130719
3,65.8765,1.15113,0.95492,1.13683,0.00161,0.16129,0.00068,0.00024,nan,nan,nan,0.00194759,0.00194759,0.00194759
4,86.4895,1.09031,0.81213,1.08921,0,0,0,0,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,107.411,0.98614,0.74357,1.05614,0.00381,0.65591,0.00294,0.00191,1.49383,inf,4.47961,0.0019208,0.0019208,0.0019208
6,130.156,0.91961,0.65749,1.01548,0.83228,0.55914,0.61971,0.44026,1.58976,1.90136,1.84698,0.001901,0.001901,0.001901
7,151.656,0.79371,0.55058,0.98531,0.862,0.80598,0.80772,0.57179,1.08835,1.16443,1.14588,0.0018812,0.0018812,0.0018812
8,173.833,0.83055,0.54419,0.98022,0.83616,0.50538,0.54657,0.33962,1.6165,2.3089,1.71549,0.0018614,0.0018614,0.0018614
9,194.111,0.73369,0.53277,0.97161,0.83968,0.9011,0.8392,0.69504,0.74812,0.85939,0.99491,0.0018416,0.0018416,0.0018416
10,214.055,0.69862,0.51104,0.94302,0.8963,0.95699,0.88965,0.75054,0.62631,0.67481,0.87635,0.0018218,0.0018218,0.0018218
11,234.012,0.69139,0.51708,0.94833,0.88142,0.96774,0.87293,0.75919,0.54582,0.73506,0.88266,0.001802,0.001802,0.001802
12,254.231,0.6621,0.4612,0.93156,0.87489,0.95699,0.87385,0.75144,0.62957,1.10807,0.88925,0.0017822,0.0017822,0.0017822
13,273.613,0.65891,0.45605,0.92107,0.88583,0.96774,0.91225,0.77843,0.62999,0.71886,0.9021,0.0017624,0.0017624,0.0017624
14,293.842,0.62988,0.46028,0.9215,0.89867,0.96774,0.88714,0.77161,0.5627,0.69962,0.88568,0.0017426,0.0017426,0.0017426
15,312.954,0.64203,0.46179,0.92504,0.86118,0.53369,0.53729,0.42649,1.29674,1.49253,1.4474,0.0017228,0.0017228,0.0017228
16,332.489,0.60807,0.43285,0.91538,0.89042,0.83871,0.78593,0.70125,nan,nan,nan,0.001703,0.001703,0.001703
17,351.938,0.59804,0.42601,0.90634,0.88411,0.92473,0.85222,0.74768,0.61651,0.7304,0.95212,0.0016832,0.0016832,0.0016832
18,371.164,0.60712,0.43713,0.91305,0.89069,0.96774,0.89832,0.80132,0.5245,0.65976,0.86603,0.0016634,0.0016634,0.0016634
19,390.9,0.57091,0.4196,0.90405,0.89866,0.96774,0.89795,0.81109,0.48899,0.65266,0.86787,0.0016436,0.0016436,0.0016436
20,411.11,0.56531,0.39508,0.89838,0.87596,0.95699,0.87298,0.7756,0.52967,0.73308,0.88307,0.0016238,0.0016238,0.0016238
