epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,430.489,0.56705,0.40718,0.89739,0.89504,0.96774,0.89117,0.77855,0.53713,0.70697,0.86097,0.001604,0.001604,0.001604
22,449.754,0.54739,0.39934,0.89861,0.89587,0.96774,0.90724,0.79549,0.53289,0.65074,0.8639,0.0015842,0.0015842,0.0015842
23,469.162,0.5616,0.397,0.89815,0.89022,0.96774,0.9164,0.80106,0.56057,0.66503,0.85445,0.0015644,0.0015644,0.0015644
24,488.362,0.53896,0.37783,0.89264,0.87585,0.96774,0.90192,0.80512,0.46869,0.68386,0.83948,0.0015446,0.0015446,0.0015446
25,507.63,0.52369,0.37622,0.88934,0.89743,0.96774,0.91159,0.80571,0.52916,0.68953,0.85933,0.0015248,0.0015248,0.0015248
26,527.327,0.54435,0.38304,0.88984,0.88957,0.96774,0.90102,0.81774,0.48074,0.59399,0.85919,0.001505,0.001505,0.001505
27,547.187,0.53184,0.38521,0.89689,0.88344,0.97794,0.9011,0.80365,0.53609,0.62858,0.86713,0.0014852,0.0014852,0.0014852
28,566.675,0.55807,0.37401,0.89943,0.88891,0.96774,0.89647,0.82792,0.43745,0.60933,0.84933,0.0014654,0.0014654,0.0014654
29,586.9,0.52857,0.3564,0.87747,0.8896,0.96774,0.89403,0.82902,0.44182,0.61576,0.85476,0.0014456,0.0014456,0.0014456
30,607.091,0.502,0.3531,0.8761,0.89684,0.96774,0.89977,0.80385,0.51048,0.63845,0.86102,0.0014258,0.0014258,0.0014258
31,626.606,0.49505,0.35244,0.87408,0.89031,0.96774,0.90698,0.82421,0.45583,0.61184,0.83421,0.001406,0.001406,0.001406
32,647.538,0.52062,0.36323,0.87952,0.89933,0.96774,0.91925,0.83594,0.48917,0.59729,0.85098,0.0013862,0.0013862,0.0013862
33,668.905,0.52684,0.36789,0.88668,0.88798,0.96774,0.8803,0.79524,0.42762,0.66907,0.83879,0.0013664,0.0013664,0.0013664
34,690.101,0.50949,0.35477,0.88782,0.87971,0.96774,0.89165,0.81062,0.49476,0.67176,0.8364,0.0013466,0.0013466,0.0013466
35,710.79,0.52648,0.36709,0.89925,0.89511,0.96774,0.90686,0.81761,0.49064,0.57835,0.85279,0.0013268,0.0013268,0.0013268
36,731.568,0.49695,0.35134,0.87375,0.88745,0.96774,0.89981,0.82033,0.52085,0.65992,0.84778,0.001307,0.001307,0.001307
37,752.191,0.506,0.3509,0.8804,0.89194,0.96774,0.89591,0.8169,0.49385,0.62909,0.83428,0.0012872,0.0012872,0.0012872
38,773.408,0.47233,0.33854,0.87296,0.89925,0.96774,0.91315,0.81178,0.55862,0.6099,0.84175,0.0012674,0.0012674,0.0012674
39,793.495,0.49287,0.33545,0.86803,0.89302,0.96774,0.90805,0.78788,0.52727,0.62044,0.84266,0.0012476,0.0012476,0.0012476
40,813.565,0.46509,0.33496,0.87893,0.88878,0.96774,0.89998,0.83172,0.45756,0.57874,0.85216,0.0012278,0.0012278,0.0012278
41,833.935,0.4609,0.3216,0.86502,0.89915,0.96774,0.89374,0.81725,0.42217,0.55158,0.84599,0.001208,0.001208,0.001208
42,855.676,0.49503,0.33351,0.87487,0.89933,0.96774,0.90986,0.85899,0.40689,0.55175,0.84048,0.0011882,0.0011882,0.0011882
43,876.881,0.5082,0.35056,0.8775,0.89206,0.9775,0.90196,0.8212,0.45576,0.59335,0.82931,0.0011684,0.0011684,0.0011684
44,897.924,0.48403,0.32932,0.86686,0.89072,0.96774,0.89377,0.82967,0.42093,0.56286,0.82477,0.0011486,0.0011486,0.0011486
45,918.252,0.44209,0.31819,0.85746,0.895,0.96774,0.89953,0.83111,0.41842,0.56983,0.82411,0.0011288,0.0011288,0.0011288
46,939.249,0.48564,0.35293,0.8976,0.89813,0.96774,0.89518,0.83017,0.40994,0.58883,0.83565,0.001109,0.001109,0.001109
47,959.059,0.46596,0.32257,0.8659,0.89037,0.96774,0.90163,0.85087,0.40298,0.58824,0.83436,0.0010892,0.0010892,0.0010892
48,979.817,0.44589,0.31571,0.86629,0.89035,0.96774,0.89829,0.84565,0.38307,0.5914,0.82352,0.0010694,0.0010694,0.0010694
49,1000.68,0.43976,0.30959,0.86386,0.89931,0.96774,0.91045,0.83334,0.4879,0.58284,0.838,0.0010496,0.0010496,0.0010496
50,1021.89,0.42145,0.29519,0.85638,0.89712,0.96774,0.89534,0.81906,0.41457,0.56842,0.82929,0.0010298,0.0010298,0.0010298
51,1042.87,0.45467,0.32229,0.88136,0.89207,0.97762,0.89969,0.8177,0.45977,0.62535,0.83587,0.00101,0.00101,0.00101
52,1063.38,0.43815,0.31285,0.85941,0.89208,0.97775,0.90375,0.83721,0.43003,0.6059,0.81839,0.0009902,0.0009902,0.0009902
53,1084.44,0.42245,0.30091,0.84936,0.89931,0.96774,0.89925,0.82274,0.45096,0.54588,0.82692,0.0009704,0.0009704,0.0009704
54,1105.53,0.43877,0.31557,0.87108,0.89205,0.97745,0.90235,0.83612,0.41356,0.58359,0.82902,0.0009506,0.0009506,0.0009506
55,1125.78,0.41523,0.29741,0.85496,0.89025,0.96774,0.90544,0.85391,0.38151,0.59989,0.81575,0.0009308,0.0009308,0.0009308
56,1146.27,0.41255,0.29265,0.84799,0.88337,0.9773,0.912,0.82605,0.4609,0.59666,0.82098,0.000911,0.000911,0.000911
57,1167.02,0.42749,0.30492,0.86404,0.89925,0.96774,0.92906,0.86209,0.39238,0.55417,0.81006,0.0008912,0.0008912,0.0008912
58,1189.14,0.41907,0.29472,0.85872,0.89212,0.97815,0.91922,0.83178,0.48579,0.59475,0.83697,0.0008714,0.0008714,0.0008714
59,1210.12,0.47144,0.31821,0.87945,0.88969,0.96774,0.91827,0.86459,0.40738,0.59802,0.82388,0.0008516,0.0008516,0.0008516
60,1231.24,0.40815,0.28908,0.85359,0.89203,0.97726,0.91575,0.84969,0.41363,0.59212,0.82457,0.0008318,0.0008318,0.0008318
61,1252.9,0.42363,0.29315,0.85775,0.88852,0.96774,0.90655,0.85872,0.39911,0.5678,0.819,0.000812,0.000812,0.000812
62,1273.64,0.39291,0.27982,0.85379,0.89551,0.96774,0.90227,0.85037,0.37007,0.57716,0.80675,0.0007922,0.0007922,0.0007922
63,1293.72,0.40695,0.28228,0.85372,0.89567,0.96774,0.91015,0.87232,0.37713,0.54757,0.82244,0.0007724,0.0007724,0.0007724
64,1314.76,0.42647,0.29398,0.85219,0.89729,0.96774,0.91054,0.84201,0.42329,0.56223,0.82137,0.0007526,0.0007526,0.0007526
65,1336.5,0.41351,0.29213,0.85849,0.88338,0.97738,0.8971,0.85247,0.38689,0.57946,0.81259,0.0007328,0.0007328,0.0007328
66,1356.9,0.39143,0.27739,0.85173,0.89128,0.96774,0.90376,0.84726,0.38423,0.56971,0.81205,0.000713,0.000713,0.000713
67,1377.15,0.38731,0.28206,0.85118,0.8973,0.96774,0.89915,0.86539,0.35854,0.53652,0.80079,0.0006932,0.0006932,0.0006932
68,1398.19,0.40172,0.27003,0.84516,0.89751,0.96774,0.91104,0.84697,0.45568,0.61832,0.81959,0.0006734,0.0006734,0.0006734
69,1419.59,0.40588,0.28336,0.85353,0.89204,0.97728,0.9084,0.84876,0.4177,0.58061,0.80963,0.0006536,0.0006536,0.0006536
70,1440.58,0.38791,0.2689,0.8469,0.88333,0.97695,0.89331,0.845,0.40162,0.57695,0.81431,0.0006338,0.0006338,0.0006338
71,1459.71,0.40638,0.28,0.86571,0.88349,0.97846,0.9004,0.8663,0.34464,0.55286,0.80695,0.000614,0.000614,0.000614
72,1479.06,0.38539,0.26813,0.83951,0.88415,0.98477,0.89652,0.86446,0.32795,0.57928,0.8035,0.0005942,0.0005942,0.0005942
73,1498.7,0.36575,0.26766,0.85039,0.88412,0.98447,0.91104,0.86372,0.33526,0.55445,0.79889,0.0005744,0.0005744,0.0005744
74,1517.92,0.35989,0.25557,0.84534,0.89292,0.98634,0.90335,0.84266,0.3871,0.59489,0.8056,0.0005546,0.0005546,0.0005546
75,1538.35,0.37655,0.26266,0.84192,0.88411,0.98925,0.89696,0.85023,0.3845,0.56743,0.82146,0.0005348,0.0005348,0.0005348
76,1559.53,0.37931,0.25476,0.84702,0.88197,0.98925,0.89521,0.83482,0.41052,0.56769,0.81993,0.000515,0.000515,0.000515
77,1581.25,0.38038,0.25489,0.85553,0.88432,0.98641,0.89925,0.835,0.40162,0.57729,0.81429,0.0004952,0.0004952,0.0004952
78,1602.14,0.36899,0.25396,0.85326,0.89026,0.96774,0.90212,0.8393,0.40999,0.57132,0.81969,0.0004754,0.0004754,0.0004754
79,1623.2,0.35485,0.24552,0.8461,0.89042,0.96774,0.90453,0.84616,0.38996,0.56497,0.81816,0.0004556,0.0004556,0.0004556
80,1643.72,0.36464,0.26206,0.85153,0.88434,0.98664,0.91013,0.85372,0.39512,0.5704,0.81086,0.0004358,0.0004358,0.0004358
81,1665.75,0.354,0.24717,0.84931,0.88349,0.97846,0.90761,0.85363,0.40959,0.60061,0.81006,0.000416,0.000416,0.000416
82,1686.44,0.3686,0.24979,0.84456,0.88999,0.96774,0.91026,0.86863,0.36993,0.60959,0.81151,0.0003962,0.0003962,0.0003962
83,1706.84,0.34231,0.25031,0.83537,0.88963,0.96774,0.90349,0.86661,0.3332,0.57031,0.80878,0.0003764,0.0003764,0.0003764
84,1727.38,0.33874,0.24583,0.85076,0.89102,0.96774,0.908,0.85304,0.37235,0.57861,0.81401,0.0003566,0.0003566,0.0003566
85,1748.83,0.36206,0.24595,0.85995,0.88391,0.98245,0.91736,0.8629,0.38339,0.58498,0.81304,0.0003368,0.0003368,0.0003368
86,1770.15,0.34791,0.24142,0.83908,0.87947,0.97849,0.90497,0.85719,0.36204,0.60288,0.80471,0.000317,0.000317,0.000317
87,1791.46,0.3316,0.22923,0.83987,0.8834,0.97763,0.89738,0.84529,0.36055,0.60057,0.80405,0.0002972,0.0002972,0.0002972
88,1812.63,0.35423,0.24211,0.86105,0.87998,0.98925,0.90042,0.86988,0.31631,0.57941,0.79358,0.0002774,0.0002774,0.0002774
89,1834.51,0.34693,0.23916,0.84779,0.87922,0.98925,0.90109,0.86136,0.32464,0.57727,0.79266,0.0002576,0.0002576,0.0002576
90,1855.81,0.32203,0.23073,0.83533,0.8843,0.98624,0.90686,0.85076,0.38834,0.59858,0.80298,0.0002378,0.0002378,0.0002378
91,1876.75,0.28153,0.19885,0.80238,0.8842,0.98524,0.90791,0.86854,0.33343,0.58254,0.79916,0.000218,0.000218,0.000218
92,1897.99,0.27972,0.20061,0.81601,0.88438,0.98925,0.9051,0.8788,0.30552,0.57033,0.7971,0.0001982,0.0001982,0.0001982
93,1919.79,0.2529,0.18485,0.80043,0.88434,0.98659,0.90414,0.88207,0.29121,0.55403,0.79303,0.0001784,0.0001784,0.0001784
94,1941.86,0.25041,0.18556,0.80735,0.87698,1,0.90406,0.88302,0.29541,0.57643,0.79557,0.0001586,0.0001586,0.0001586
95,1963.37,0.25012,0.18348,0.80433,0.87715,0.99807,0.90502,0.88543,0.29714,0.58184,0.79429,0.0001388,0.0001388,0.0001388
96,1985.41,0.23548,0.17746,0.80501,0.87712,0.99783,0.90838,0.89235,0.27593,0.57531,0.79206,0.000119,0.000119,0.000119
97,2006.69,0.23335,0.17548,0.79091,0.87709,0.99749,0.90502,0.88525,0.27402,0.57534,0.78937,9.92e-05,9.92e-05,9.92e-05
98,2027.9,0.24352,0.17626,0.80455,0.86896,0.99823,0.90396,0.88838,0.26361,0.56151,0.78845,7.94e-05,7.94e-05,7.94e-05
99,2048.85,0.23545,0.17378,0.79597,0.88432,0.98641,0.90406,0.89235,0.2539,0.54366,0.78923,5.96e-05,5.96e-05,5.96e-05
100,2070.75,0.23247,0.17025,0.78917,0.86912,0.99963,0.90396,0.88527,0.27023,0.56363,0.78728,3.98e-05,3.98e-05,3.98e-05
